# The exercise library. Ships with the app and is shared by every user.
#
# When you create an exercise in the app it is written to your own log repo so
# it works immediately and offline, and the app opens a pull request adding it
# here. Your library is therefore this file plus your not-yet-merged additions.
#
# Blank cells take defaults: base_lift = none, unilateral = false,
# load_type = external, default_unit = absolute. Lists use "/" so nothing is quoted.
#
# There is no exercise called "deadlift". Sumo and conventional are different
# movements that compete under one event, so both sit at tier "comp".
id,name,base_lift,tier,unilateral,load_type,default_unit,primary,secondary,aux

# --- competition ---
low_bar_squat,Low-Bar Squat,squat,comp,,,,quads/adductors,glutes/lower_back,
high_bar_squat,High-Bar Squat,squat,comp,,,,quads,adductors/glutes/lower_back,
bench,Bench Press,bench,comp,,,,pecs,triceps/front_delts,
conventional_deadlift,Conventional Deadlift,deadlift,comp,,,,hamstrings/glutes/lower_back,adductors,
sumo_deadlift,Sumo Deadlift,deadlift,comp,,,,glutes/adductors,hamstrings/lower_back/quads,

# --- squat variations ---
paused_squat,Paused Squat,squat,high_spec,,,,quads/adductors,glutes/lower_back,
tempo_squat,Tempo Squat,squat,high_spec,,,,quads/adductors,glutes/lower_back,
pin_squat,Pin Squat,squat,high_spec,,,,quads/adductors,glutes/lower_back,
ssb_squat,Safety-Bar Squat,squat,high_spec,,,,quads/lower_back,glutes/adductors,
front_squat,Front Squat,squat,low_spec,,,,quads/lower_back,glutes/adductors,
belt_squat,Belt Squat,squat,low_spec,,,,quads,adductors,
hack_squat,Hack Squat,squat,acc,,,,quads,glutes/adductors,
leg_press,Leg Press,squat,acc,,,,quads/glutes,adductors,
single_leg_press,Single-Leg Press,squat,acc,true,,,quads/glutes,adductors,
bulgarian_split_squat,Bulgarian Split Squat,squat,acc,true,,,quads/glutes,hip_flexors,
walking_lunge,Walking Lunge,squat,acc,true,,,quads/glutes,adductors,

# --- bench variations ---
cg_bench,Close-Grip Bench Press,bench,high_spec,,,,triceps/pecs,front_delts,
spoto_press,Spoto Press,bench,high_spec,,,,pecs,triceps/front_delts,
larsen_press,Larsen Press,bench,high_spec,,,,pecs,triceps/front_delts,
pin_press,Pin Press,bench,high_spec,,,,pecs,triceps/front_delts,
db_bench,Dumbbell Bench Press,bench,low_spec,,,,pecs,front_delts/triceps,
incline_bench,Incline Bench Press,bench,low_spec,,,,pecs/front_delts,triceps,
dip,Dip,bench,acc,,bw_plus,,pecs/triceps,front_delts,
overhead_press,Overhead Press,bench,acc,,,,front_delts/triceps,upper_back/lower_back,

# --- deadlift variations ---
deficit_deadlift,Deficit Deadlift,deadlift,high_spec,,,,glutes/lower_back,quads/adductors,
block_pull,Block Pull,deadlift,high_spec,,,,glutes/lower_back,hamstrings/upper_back,
paused_deadlift,Paused Deadlift,deadlift,high_spec,,,,glutes/lower_back,hamstrings/adductors/quads,
romanian_deadlift,Romanian Deadlift,deadlift,low_spec,,,,hamstrings,glutes/lower_back,
stiff_leg_deadlift,Stiff-Leg Deadlift,deadlift,high_spec,,,,hamstrings/lower_back,glutes/adductors,
good_morning,Good Morning,deadlift,acc,,,,hamstrings/lower_back,glutes/adductors,
hip_thrust,Hip Thrust,deadlift,acc,,,,glutes,quads/abs,
back_extension,Back Extension,deadlift,acc,,bw_plus,,lower_back/glutes,hamstrings,

# --- leg accessories ---
leg_extension,Leg Extension,squat,acc,,,,hip_flexors/quads,,
leg_curl_lying,Lying Leg Curl,deadlift,acc,,,,hamstrings,calves/hip_flexors,
