rpe,reps,factor
0.0,1,0.707
0.0,2,0.680
0.0,3,0.653
0.0,4,0.626
0.0,5,0.599
0.0,6,0.572
0.0,7,0.544
0.0,8,0.516
0.5,1,0.723
0.5,2,0.694
0.5,3,0.667
0.5,4,0.640
0.5,5,0.613
0.5,6,0.586
0.5,7,0.558
0.5,8,0.530
1.0,1,0.739
1.0,2,0.707
1.0,3,0.680
1.0,4,0.653
1.0,5,0.626
1.0,6,0.599
1.0,7,0.572
1.0,8,0.544
1.0,9,0.516
1.5,1,0.751
1.5,2,0.723
1.5,3,0.694
1.5,4,0.667
1.5,5,0.640
1.5,6,0.613
1.5,7,0.586
1.5,8,0.558
1.5,9,0.530
2.0,1,0.762
2.0,2,0.739
2.0,3,0.707
2.0,4,0.680
2.0,5,0.653
2.0,6,0.626
2.0,7,0.599
2.0,8,0.572
2.0,9,0.544
2.0,10,0.516
2.5,1,0.774
2.5,2,0.751
2.5,3,0.723
2.5,4,0.694
2.5,5,0.667
2.5,6,0.640
2.5,7,0.613
2.5,8,0.586
2.5,9,0.558
2.5,10,0.530
3.0,1,0.786
3.0,2,0.762
3.0,3,0.739
3.0,4,0.707
3.0,5,0.680
3.0,6,0.653
3.0,7,0.626
3.0,8,0.599
3.0,9,0.572
3.0,10,0.544
3.0,11,0.516
3.5,1,0.799
3.5,2,0.774
3.5,3,0.751
3.5,4,0.723
3.5,5,0.694
3.5,6,0.667
3.5,7,0.640
3.5,8,0.613
3.5,9,0.586
3.5,10,0.558
3.5,11,0.530
4.0,1,0.811
4.0,2,0.786
4.0,3,0.762
4.0,4,0.739
4.0,5,0.707
4.0,6,0.680
4.0,7,0.653
4.0,8,0.626
4.0,9,0.599
4.0,10,0.572
4.0,11,0.544
4.0,12,0.516
4.5,1,0.824
4.5,2,0.799
4.5,3,0.774
4.5,4,0.751
4.5,5,0.723
4.5,6,0.694
4.5,7,0.667
4.5,8,0.640
4.5,9,0.613
4.5,10,0.586
4.5,11,0.558
4.5,12,0.530
5.0,1,0.837
5.0,2,0.811
5.0,3,0.786
5.0,4,0.762
5.0,5,0.739
5.0,6,0.707
5.0,7,0.680
5.0,8,0.653
5.0,9,0.626
5.0,10,0.599
5.0,11,0.572
5.0,12,0.544
5.5,1,0.850
5.5,2,0.824
5.5,3,0.799
5.5,4,0.774
5.5,5,0.751
5.5,6,0.723
5.5,7,0.694
5.5,8,0.667
5.5,9,0.640
5.5,10,0.613
5.5,11,0.586
5.5,12,0.558
6.0,1,0.863
6.0,2,0.837
6.0,3,0.811
6.0,4,0.786
6.0,5,0.762
6.0,6,0.739
6.0,7,0.707
6.0,8,0.680
6.0,9,0.653
6.0,10,0.626
6.0,11,0.599
6.0,12,0.572
6.5,1,0.878
6.5,2,0.850
6.5,3,0.824
6.5,4,0.799
6.5,5,0.774
6.5,6,0.751
6.5,7,0.723
6.5,8,0.694
6.5,9,0.667
6.5,10,0.640
6.5,11,0.613
6.5,12,0.586
7.0,1,0.892
7.0,2,0.863
7.0,3,0.837
7.0,4,0.811
7.0,5,0.786
7.0,6,0.762
7.0,7,0.739
7.0,8,0.707
7.0,9,0.680
7.0,10,0.653
7.0,11,0.626
7.0,12,0.599
7.5,1,0.907
7.5,2,0.878
7.5,3,0.850
7.5,4,0.824
7.5,5,0.799
7.5,6,0.774
7.5,7,0.751
7.5,8,0.723
7.5,9,0.694
7.5,10,0.667
7.5,11,0.640
7.5,12,0.613
8.0,1,0.922
8.0,2,0.892
8.0,3,0.863
8.0,4,0.837
8.0,5,0.811
8.0,6,0.786
8.0,7,0.762
8.0,8,0.739
8.0,9,0.707
8.0,10,0.680
8.0,11,0.653
8.0,12,0.626
8.5,1,0.939
8.5,2,0.907
8.5,3,0.878
8.5,4,0.850
8.5,5,0.824
8.5,6,0.799
8.5,7,0.774
8.5,8,0.751
8.5,9,0.723
8.5,10,0.694
8.5,11,0.667
8.5,12,0.640
9.0,1,0.955
9.0,2,0.922
9.0,3,0.892
9.0,4,0.863
9.0,5,0.837
9.0,6,0.811
9.0,7,0.786
9.0,8,0.762
9.0,9,0.739
9.0,10,0.707
9.0,11,0.680
9.0,12,0.653
9.5,1,0.978
9.5,2,0.939
9.5,3,0.907
9.5,4,0.878
9.5,5,0.850
9.5,6,0.824
9.5,7,0.799
9.5,8,0.774
9.5,9,0.751
9.5,10,0.723
9.5,11,0.694
9.5,12,0.667
10.0,1,1.000
10.0,2,0.955
10.0,3,0.922
10.0,4,0.892
10.0,5,0.863
10.0,6,0.837
10.0,7,0.811
10.0,8,0.786
10.0,9,0.762
10.0,10,0.739
10.0,11,0.707
10.0,12,0.680
