rpe,reps,peripheral,central
0.0,1,0.13,0.05
0.0,2,0.24,0.07
0.0,3,0.32,0.09
0.0,4,0.37,0.09
0.0,5,0.42,0.09
0.0,6,0.45,0.09
0.0,7,0.48,0.09
0.0,8,0.49,0.09
0.0,9,0.51,0.09
0.0,10,0.51,0.08
0.0,11,0.52,0.08
0.0,12,0.52,0.08
0.5,1,0.13,0.05
0.5,2,0.24,0.07
0.5,3,0.32,0.09
0.5,4,0.37,0.09
0.5,5,0.42,0.09
0.5,6,0.45,0.09
0.5,7,0.48,0.09
0.5,8,0.49,0.09
0.5,9,0.51,0.09
0.5,10,0.51,0.08
0.5,11,0.52,0.08
0.5,12,0.52,0.08
1.0,1,0.14,0.05
1.0,2,0.24,0.09
1.0,3,0.32,0.10
1.0,4,0.38,0.11
1.0,5,0.42,0.10
1.0,6,0.46,0.10
1.0,7,0.48,0.10
1.0,8,0.50,0.10
1.0,9,0.51,0.09
1.0,10,0.52,0.09
1.0,11,0.52,0.09
1.0,12,0.53,0.08
1.5,1,0.14,0.06
1.5,2,0.24,0.10
1.5,3,0.32,0.11
1.5,4,0.38,0.12
1.5,5,0.43,0.12
1.5,6,0.46,0.11
1.5,7,0.48,0.11
1.5,8,0.50,0.10
1.5,9,0.51,0.10
1.5,10,0.52,0.10
1.5,11,0.53,0.09
1.5,12,0.53,0.09
2.0,1,0.14,0.07
2.0,2,0.25,0.11
2.0,3,0.33,0.13
2.0,4,0.39,0.13
2.0,5,0.43,0.13
2.0,6,0.47,0.13
2.0,7,0.49,0.12
2.0,8,0.51,0.11
2.0,9,0.52,0.11
2.0,10,0.53,0.10
2.0,11,0.53,0.10
2.0,12,0.53,0.09
2.5,1,0.14,0.09
2.5,2,0.25,0.13
2.5,3,0.33,0.15
2.5,4,0.39,0.15
2.5,5,0.44,0.15
2.5,6,0.47,0.14
2.5,7,0.49,0.13
2.5,8,0.51,0.13
2.5,9,0.52,0.12
2.5,10,0.53,0.11
2.5,11,0.54,0.10
2.5,12,0.54,0.10
3.0,1,0.14,0.11
3.0,2,0.25,0.15
3.0,3,0.33,0.16
3.0,4,0.40,0.17
3.0,5,0.44,0.17
3.0,6,0.48,0.16
3.0,7,0.50,0.15
3.0,8,0.52,0.14
3.0,9,0.53,0.13
3.0,10,0.54,0.12
3.0,11,0.54,0.11
3.0,12,0.54,0.11
3.5,1,0.15,0.13
3.5,2,0.26,0.18
3.5,3,0.34,0.19
3.5,4,0.40,0.19
3.5,5,0.45,0.19
3.5,6,0.48,0.18
3.5,7,0.50,0.16
3.5,8,0.52,0.15
3.5,9,0.53,0.14
3.5,10,0.54,0.13
3.5,11,0.54,0.12
3.5,12,0.55,0.11
4.0,1,0.15,0.15
4.0,2,0.26,0.21
4.0,3,0.34,0.22
4.0,4,0.41,0.21
4.0,5,0.45,0.21
4.0,6,0.49,0.20
4.0,7,0.51,0.18
4.0,8,0.53,0.17
4.0,9,0.54,0.16
4.0,10,0.55,0.14
4.0,11,0.55,0.13
4.0,12,0.55,0.12
4.5,1,0.15,0.19
4.5,2,0.26,0.25
4.5,3,0.35,0.27
4.5,4,0.41,0.25
4.5,5,0.46,0.24
4.5,6,0.49,0.22
4.5,7,0.52,0.21
4.5,8,0.53,0.19
4.5,9,0.54,0.17
4.5,10,0.55,0.16
4.5,11,0.55,0.14
4.5,12,0.56,0.13
5.0,1,0.15,0.23
5.0,2,0.27,0.31
5.0,3,0.35,0.32
